id,name,email,age
1,Riley,riley1@email.com,25
2,Casey,casey2@service.com,20
3,Morgan,morgan3@internet.com,20
4,Riley,riley4@mailbox.com,29
5,Taylor,taylor5@service.com,26
6,Casey,casey6@mailbox.com,25
7,Peyton,peyton7@mailbox.com,24
8,Alex,alex8@internet.com,27
9,Jordan,jordan9@mailbox.com,18
10,Morgan,morgan10@internet.com,18
11,Riley,riley11@mailbox.com,28
12,Peyton,peyton12@mailbox.com,22
13,Alex,alex13@mailbox.com,27
14,Jamie,jamie14@service.com,24
15,Morgan,morgan15@internet.com,28
16,Casey,casey16@email.com,30
17,Jordan,jordan17@service.com,28
18,Riley,riley18@mailbox.com,26
19,Casey,casey19@mailbox.com,23
20,Jamie,jamie20@internet.com,25
21,Jamie,jamie21@email.com,25
22,Casey,casey22@internet.com,30
23,Riley,riley23@internet.com,22
24,Jordan,jordan24@mailbox.com,29
25,Taylor,taylor25@mailbox.com,27
26,Alex,alex26@internet.com,22
27,Riley,riley27@internet.com,26
28,Alex,alex28@service.com,29
29,Morgan,morgan29@internet.com,22
30,Alex,alex30@email.com,23
31,Riley,riley31@service.com,30
32,Jordan,jordan32@internet.com,27
33,Riley,riley33@service.com,27
34,Casey,casey34@mailbox.com,30
35,Casey,casey35@mailbox.com,29
36,Riley,riley36@mailbox.com,27
37,Jordan,jordan37@internet.com,29
38,Taylor,taylor38@internet.com,21
39,Peyton,peyton39@internet.com,27
40,Jordan,jordan40@internet.com,23
41,Alex,alex41@email.com,23
42,Riley,riley42@internet.com,20
43,Peyton,peyton43@mailbox.com,21
44,Taylor,taylor44@email.com,29
45,Alex,alex45@service.com,24
46,Jamie,jamie46@service.com,23
47,Jordan,jordan47@email.com,27
48,Jordan,jordan48@email.com,29
49,Taylor,taylor49@email.com,23
50,Riley,riley50@email.com,20
51,Alex,alex51@mailbox.com,25
52,Alex,alex52@email.com,25
53,Alex,alex53@service.com,29
54,Jordan,jordan54@mailbox.com,22
55,Taylor,taylor55@mailbox.com,30
56,Casey,casey56@mailbox.com,19
